23840591_1|23840591|0|#section_info|0:0|The ArfGEF GBF-1 Is Required for ER Structure, Secretion and Endocytic Transport in C. elegans|#main_body|GO:0005086|ARF guanyl-nucleotide exchange factor activity|#go_definition|NONE|GOA|WBGene00007703(176609)|#gene_synonym
0.65	23840591_9|23840591|1447|Introduction|0:0|Its C. elegans homologue AGEF-1 has been shown to be essential for Golgi structure maintenance and transport to the plasma membrane [3].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	23840591_285|23840591|47192|Supporting Information|0:0|Different endocytic functions of AGEF-1 in C. elegans coelomocytes|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
23840591_2|23840591|0|#section_info|0:0|The ArfGEF GBF-1 Is Required for ER Structure, Secretion and Endocytic Transport in C. elegans|#main_body|GO:0007029|endoplasmic reticulum organization|#go_definition|NONE|GOA|WBGene00007703(176609)|#gene_synonym
0.65	23840591_9|23840591|1447|Introduction|0:0|Its C. elegans homologue AGEF-1 has been shown to be essential for Golgi structure maintenance and transport to the plasma membrane [3].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	23840591_285|23840591|47192|Supporting Information|0:0|Different endocytic functions of AGEF-1 in C. elegans coelomocytes|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
23840591_3|23840591|0|#section_info|0:0|The ArfGEF GBF-1 Is Required for ER Structure, Secretion and Endocytic Transport in C. elegans|#main_body|GO:0046903|secretion|#go_definition|NONE|GOA|WBGene00007703(176609)|#gene_synonym
0.65	23840591_9|23840591|1447|Introduction|0:0|Its C. elegans homologue AGEF-1 has been shown to be essential for Golgi structure maintenance and transport to the plasma membrane [3].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	23840591_285|23840591|47192|Supporting Information|0:0|Different endocytic functions of AGEF-1 in C. elegans coelomocytes|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
23840591_4|23840591|0|#section_info|0:0|The ArfGEF GBF-1 Is Required for ER Structure, Secretion and Endocytic Transport in C. elegans|#main_body|GO:0006897|endocytosis|#go_definition|NONE|GOA|WBGene00007703(176609)|#gene_synonym
0.65	23840591_9|23840591|1447|Introduction|0:0|Its C. elegans homologue AGEF-1 has been shown to be essential for Golgi structure maintenance and transport to the plasma membrane [3].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
0.64	23840591_285|23840591|47192|Supporting Information|0:0|Different endocytic functions of AGEF-1 in C. elegans coelomocytes|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
23840591_5|23840591|95|#section_info|0:0|GBF-1 localizes to the cis-Golgi and is part of the t-ER-Golgi elements.|#main_body|GO:0000137|Golgi cis cisterna|#go_definition|NONE|GOA|WBGene00007703(176609)|#gene_synonym
0.61	23840591_132|23840591|17811|Results|0:0|In those systems, GBF1 was shown to be localized to the cis-Golgi [5], [9], [13].|#main_body|#go_id|#go_term|#go_definition|#evidence_code|#evidence_type|#gene_name|#gene_synonym
##EndOfRet##
